title,id
Asterix at the Olympic Games,2395
Windtalkers,12100
The Huntsman: Winter's War,290595
Teenage Mutant Ninja Turtles,98566
Gravity,49047
Dante's Peak,9619
Teenage Mutant Ninja Turtles: Out of the Shadows,308531
Fantastic Four,166424
Night at the Museum,1593
San Andreas,254128
Tomorrow Never Dies,714
The Patriot,2024
Ocean's Twelve,163
Mr. & Mrs. Smith,787
Insurgent,262500
The Aviator,2567
Gulliver's Travels,38745
The Green Hornet,40805
300: Rise of an Empire,53182
The Smurfs,41513
Home on the Range,13700
Allegiant,262504
Real Steel,39254
The Smurfs 2,77931
Speed 2: Cruise Control,1639
Ender's Game,80274
Live Free or Die Hard,1571
The Lord of the Rings: The Fellowship of the Ring,120
Around the World in 80 Days,10204
Ali,8489
The Cat in the Hat,10588
"I, Robot",2048
Kingdom of Heaven,1495
Stuart Little,10137
The Princess and the Frog,10198
The Martian,286217
The Island,1635
Town & Country,24113
Gone in Sixty Seconds,9679
Gladiator,98
Minority Report,180
Harry Potter and the Chamber of Secrets,672
Casino Royale,36557
Planet of the Apes,869
Terminator 2: Judgment Day,280
Public Enemies,11322
American Gangster,4982
True Lies,36955
The Taking of Pelham 1 2 3,18487
Little Fockers,39451
The Other Guys,27581
Eraser,9268
Django Unchained,68718
The Hunchback of Notre Dame,10545
The Emperor's New Groove,11688
The Expendables 2,76163
National Treasure,2059
Eragon,2486
Where the Wild Things Are,16523
Epic,116711
The Tourist,37710
End of Days,9946
Blood Diamond,1372
The Wolf of Wall Street,106646
Batman Forever,414
Starship Troopers,563
Cloud Atlas,83542
Legend of the Guardians: The Owls of Ga'Hoole,41216
Catwoman,314
Hercules,184315
Treasure Planet,9016
Land of the Lost,18162
The Expendables 3,138103
Point Break,257088
Son of the Mask,10214
In the Heart of the Sea,205775
The Adventures of Pluto Nash,11692
Green Zone,22972
The Peanuts Movie,227973
The Spanish Prisoner,29193
The Mummy Returns,1734
Gangs of New York,3131
The Flowers of War,76758
Surf's Up,9408
The Stepford Wives,9890
Black Hawk Down,855
The Campaign,77953
The Fifth Element,18
Sex and the City 2,37786
The Road to El Dorado,10501
Ice Age: Continental Drift,57800
Cinderella,150689
The Lovely Bones,7980
Finding Nemo,12
The Lord of the Rings: The Return of the King,122
The Lord of the Rings: The Two Towers,121
Seventh Son,68737
Lara Croft: Tomb Raider,1995
Transcendence,157353
Jurassic Park III,331
Rise of the Planet of the Apes,61791
The Spiderwick Chronicles,8204
A Good Day to Die Hard,47964
The Alamo,10733
The Incredibles,9806
Cutthroat Island,1408
Percy Jackson & the Olympians: The Lightning Thief,32657
Men in Black,607
Toy Story 2,863
Unstoppable,44048
Rush Hour 2,5175
What Lies Beneath,2655
Cloudy with a Chance of Meatballs,22794
Ice Age: Dawn of the Dinosaurs,8355
The Secret Life of Walter Mitty,116745
Charlie's Angels,4327
The Departed,1422
Mulan,10674
Tropic Thunder,7446
The Girl with the Dragon Tattoo,65754
Die Hard: With a Vengeance,1572
Sherlock Holmes,10528
Ben-Hur,271969
Atlantis: The Lost Empire,10865
Alvin and the Chipmunks: The Road Chip,258509
Valkyrie,2253
You Don't Mess with the Zohan,10661
Pixels,257344
A.I. Artificial Intelligence,644
The Haunted Mansion,10756
Contact,686
Hollow Man,9383
The Interpreter,179
Percy Jackson: Sea of Monsters,76285
Lara Croft Tomb Raider: The Cradle of Life,1996
Now You See Me 2,291805
The Saint,10003
Spy Game,1535
Mission to Mars,2067
Rio,46195
Bicentennial Man,2277
Volcano,10357
The Devil's Own,4477
K-19: The Widowmaker,8665
Conan the Barbarian,9387
Cinderella Man,921
The Nutcracker: The Untold Story,49852
Seabiscuit,4464
Twister,664
Cast Away,8358
Happy Feet,9836
The Bourne Supremacy,2502
Air Force One,9772
Ocean's Eleven,161
The Three Musketeers,52451
Hotel Transylvania,76492
Enchanted,4523
Safe House,59961
102 Dalmatians,10481
Tower Heist,59108
The Holiday,1581
Enemy of the State,9798
It's Complicated,22897
Ocean's Thirteen,298
Open Season,7484
Divergent,157350
Enemy at the Gates,853
The Rundown,10159
Last Action Hero,9593
Memoirs of a Geisha,1904
The Fast and the Furious: Tokyo Drift,9615
Arthur Christmas,51052
Meet Joe Black,297
Collateral Damage,9884
All That Jazz,16858
Mirror Mirror,62764
Scott Pilgrim vs. the World,22538
The Core,9341
Nutty Professor II: The Klumps,12107
Scooby-Doo,9637
Dredd,49049
Click,9339
Creepshow,16281
Cats & Dogs 2 : The Revenge of Kitty Galore,39691
Jumper,8247
Hellboy II: The Golden Army,11253
Zodiac,1949
The 6th Day,8452
Bruce Almighty,310
The Expendables,27578
Mission: Impossible,954
The Hunger Games,70160
The Hangover Part II,45243
Batman Returns,364
Over the Hedge,7518
Lilo & Stitch,11544
Charlotte's Web,9986
Deep Impact,8656
RED 2,146216
The Longest Yard,9291
Alvin and the Chipmunks: Chipwrecked,55301
Grown Ups 2,109418
Get Smart,11665
Something's Gotta Give,6964
Shutter Island,11324
Four Christmases,12193
Robots,9928
Face/Off,754
Bedtime Stories,10202
Road to Perdition,4147
Just Go with It,50546
Con Air,1701
Eagle Eye,13027
Cold Mountain,2289
The Book of Eli,20504
Flubber,9574
The Haunting,11618
Space Jam,2300
The Pink Panther,12096
The Day the Earth Stood Still,10200
Conspiracy Theory,8834
Fury,228150
Six Days Seven Nights,6068
Yogi Bear,41515
Spirit: Stallion of the Cimarron,9023
Zookeeper,38317
Lost in Space,2157
The Manchurian Candidate,14462
Déjà Vu,161795
Hotel Transylvania 2,159824
Fantasia 2000,49948
The Time Machine,2135
Mighty Joe Young,9822
Swordfish,9705
The Legend of Zorro,1656
What Dreams May Come,12159
Little Nicky,9678
The Brothers Grimm,4442
Mars Attacks!,75
Evolution,330770
The Edge,9433
Surrogates,19959
Thirteen Days,11973
Daylight,11228
Walking With Dinosaurs,77951
Battlefield Earth,5491
Looney Tunes: Back in Action,10715
Nine,10197
Timeline,9562
The Postman,9922
Babe: Pig in the City,9447
The Last Witch Hunter,274854
Red Planet,8870
Arthur and the Invisibles,9992
Oceans,36970
A Sound of Thunder,10077
Pompeii,76649
Top Cat Begins,293644
A Beautiful Mind,453
The Lion King,8587
Journey 2: The Mysterious Island,72545
Cloudy with a Chance of Meatballs 2,109451
Red Dragon,9533
Hidalgo,2023
Jack and Jill,71880
2 Fast 2 Furious,584
The Little Prince,309809
The Invasion,4858
The Adventures of Rocky & Bullwinkle,17711
The Secret Life of Pets,328111
The League of Extraordinary Gentlemen,8698
Despicable Me 2,93456
Independence Day,602
The Lost World: Jurassic Park,330
Madagascar,953
Children of Men,9693
X-Men,36657
Wanted,8909
The Rock,9802
Ice Age: The Meltdown,950
50 First Dates,1824
Hairspray,2976
Exorcist: The Beginning,11026
Inspector Gadget,332
Now You See Me,75656
Grown Ups,38365
The Terminal,594
Hotel for Dogs,15189
Vertical Limit,11678
Charlie Wilson's War,6538
Shark Tale,10555
Dreamgirls,1125
Be Cool,4551
Munich,612
Tears of the Sun,9567
Killers,37821
The Man from U.N.C.L.E.,203801
Spanglish,2539
Monster House,9297
Bandits,3172
First Knight,6520
Anna and the King,1439
Immortals,37958
Hostage,2026
Titan A.E.,7450
Hollywood Homicide,11375
Soldier,9425
Carriers,25769
Monkeybone,23685
Flight of the Phoenix,11866
Unbreakable,9741
Minions,211672
Sucker Punch,23629
Snake Eyes,8688
Sphere,10153
The Angry Birds Movie,153518
Fool's Gold,8676
Funny People,20829
The Kingdom,4349
Talladega Nights: The Ballad of Ricky Bobby,9718
Dr. Dolittle 2,10808
Braveheart,197
Jarhead,25
The Simpsons Movie,35
The Majestic,11086
Driven,10477
Two Brothers,1997
The Village,6947
Doctor Dolittle,3050
Signs,2675
Shrek 2,809
Cars,920
Runaway Bride,4806
xXx,7451
The SpongeBob Movie: Sponge Out of Water,228165
Ransom,3595
Inglourious Basterds,16869
Hook,879
Die Hard 2,1573
S.W.A.T.,9257
Vanilla Sky,1903
Lady in the Water,9697
AVP: Alien vs. Predator,395
Alvin and the Chipmunks: The Squeakquel,23398
We Were Soldiers,10590
Olympus Has Fallen,117263
Star Trek: Insurrection,200
Battle: Los Angeles,44943
Big Fish,587
Wolf,10395
War Horse,57212
The Monuments Men,152760
The Abyss,2756
Wall Street: Money Never Sleeps,33909
Dracula Untold,49017
The Siege,9882
Stardust,2270
Seven Years in Tibet,978
The Dilemma,44564
Bad Company,3132
Doom,8814
I Spy,8427
Underworld: Awakening,52520
Rock of Ages,80585
Hart's War,10592
Killer Elite,49021
Rollerball,11535
Ballistic: Ecks vs. Sever,10550
Hard Rain,11258
Osmosis Jones,12610
Legends of Oz: Dorothy's Return,59981
Blackhat,201088
Sky Captain and the World of Tomorrow,5137
Basic Instinct 2,3093
Escape Plan,107846
The Legend of Hercules,188207
The Sum of All Fears,4614
The Twilight Saga: Eclipse,24021
The Score,11371
Despicable Me,20352
Money Train,11517
Ted 2,214756
Agora,26428
Mystery Men,9824
Hall Pass,48988
The Insider,9008
The Finest Hours,300673
Body of Lies,12113
Dinner for Schmucks,38778
Abraham Lincoln: Vampire Hunter,72331
Entrapment,1844
The X Files,846
The Last Legion,9703
Saving Private Ryan,857
Need for Speed,136797
What Women Want,3981
Ice Age,425
Dreamcatcher,6171
Lincoln,72976
The Matrix,603
Apollo 13,568
The Santa Clause 2,9021
Les Misérables,82695
You've Got Mail,9489
Step Brothers,12133
The Mask of Zorro,9342
Due Date,41733
Unbroken,227306
Space Cowboys,5551
Cliffhanger,9350
Broken Arrow,9208
The Kid,4244
World Trade Center,1852
Mona Lisa Smile,11820
The Dictator,76493
Eyes Wide Shut,345
Annie,196867
Focus,256591
This Means War,59962
Blade: Trinity,36648
Red Dawn,1880
Primary Colors,9440
Resident Evil: Retribution,71679
Death Race,10483
The Long Kiss Goodnight,11412
Proof of Life,11983
Zathura: A Space Adventure,6795
Fight Club,550
We Are Marshall,11170
Hudson Hawk,9292
Lucky Numbers,10783
"I, Frankenstein",100241
Oliver Twist,257
Elektra,9947
Sin City: A Dame to Kill For,189
Random Hearts,12618
Everest,253412
Perfume: The Story of a Murderer,1427
Austin Powers in Goldmember,818
Astro Boy,16577
Jurassic Park,329
Wyatt Earp,12160
Clear and Present Danger,9331
Dragon Blade,300168
Little Man,9072
U-571,3536
The American President,9087
The Love Guru,12177
3000 Miles to Graceland,12138
The Hateful Eight,273248
Blades of Glory,9955
Hop,50359
300,1271
Meet the Fockers,693
Marley & Me,14306
The Green Mile,497
Wild Hogs,11199
Chicken Little,9982
Gone Girl,210577
The Bourne Identity,2501
GoldenEye,710
The General's Daughter,2275
The Truman Show,37165
The Prince of Egypt,9837
Daddy Day Care,10708
2 Guns,136400
Cats & Dogs,10992
The Italian Job,9654
Two Weeks Notice,2642
Antz,8916
Couples Retreat,19899
Days of Thunder,2119
Cheaper by the Dozen 2,9641
Maze Runner: The Scorch Trials,294254
Eat Pray Love,38167
The Family Man,5994
RED,39514
Any Given Sunday,9563
The Horse Whisperer,547
Collateral,1538
The Scorpion King,9334
Ladder 49,11128
Jack Reacher,75780
Deep Blue Sea,8914
This Is It,13576
Contagion,39538
Kangaroo Jack,10628
Coraline,14836
The Happening,8645
Man on Fire,9509
The Shaggy Dog,10067
Starsky & Hutch,9384
Jingle All the Way,9279
Hellboy,1487
A Civil Action,9422
ParaNorman,77174
The Jackal,4824
Paycheck,9620
Up Close & Personal,9302
The Tale of Despereaux,10199
The Tuxedo,10771
Under Siege 2: Dark Territory,3512
Jack Ryan: Shadow Recruit,137094
Joy,274479
London Has Fallen,267860
Alien: Resurrection,8078
Shooter,7485
The Boxtrolls,170687
Practical Magic,6435
The Lego Movie,137106
Miss Congeniality 2: Armed and Fabulous,10040
Reign of Fire,6278
Gangster Squad,82682
Year One,17610
Invictus,22954
State of Play,16995
Duplicity,16558
My Favorite Martian,9849
The Sentinel,5820
Planet 51,16866
Star Trek: Nemesis,201
Intolerable Cruelty,11775
Trouble with the Curve,87825
Edge of Darkness,12201
The Relic,11015
Analyze That,9932
Righteous Kill,13389
Mercury Rising,8838
The Soloist,17332
The Legend of Bagger Vance,4958
Almost Famous,786
Garfield: A Tail of Two Kitties,9513
xXx: State of the Union,11679
Priest,38321
Sinbad: Legend of the Seven Seas,14411
Event Horizon,8413
Dragonfly,10052
The Black Dahlia,9676
Flyboys,9664
The Last Castle,2100
Supernova,10384
Winter's Tale,137321
The Mortal Instruments: City of Bones,123553
Meet Dave,11260
Dark Water,9009
Edtv,11374
Inkheart,2309
The Spirit,8285
Mortdecai,210860
In the Name of the King: A Dungeon Siege Tale,2312
Beyond Borders,9839
The Monkey King 2,381902
The Great Raid,13922
Deadpool,293660
Holy Man,9713
American Sniper,190859
Goosebumps,257445
Just Like Heaven,9007
The Flintstones in Viva Rock Vegas,889
Rambo III,1370
Leatherheads,4942
The Ridiculous 6,347969
Did You Hear About the Morgans?,24438
The Internship,116741
Resident Evil: Afterlife,35791
Red Tails,72431
The Devil's Advocate,1813
That's My Boy,87428
DragonHeart,8840
After the Sunset,10589
Ghost Rider: Spirit of Vengeance,71676
Captain Corelli's Mandolin,1722
The Pacifier,10022
Walking Tall,11358
Forrest Gump,13
Alvin and the Chipmunks,6477
Meet the Parents,1597
Pocahontas,10530
Superman,1924
The Nutty Professor,9327
Hitch,8488
George of the Jungle,10603
American Wedding,8273
Captain Phillips,109424
Date Night,35056
Casper,8839
The Equalizer,156022
Maid in Manhattan,7303
Crimson Tide,8963
The Pursuit of Happyness,1402
Flightplan,9315
Disclosure,8984
City of Angels,795
Kill Bill: Vol. 1,24
Bowfinger,11353
Kill Bill: Vol. 2,393
Tango & Cash,9618
Death Becomes Her,9374
Shanghai Noon,8584
Executive Decision,2320
Mr. Popper's Penguins,58224
The Forbidden Kingdom,1729
Free Birds,175574
Alien³,8077
Evita,8818
Ronin,8195
The Ghost and the Darkness,10586
Paddington,116149
The Watch,80035
The Hunted,10632
Instinct,12117
Stuck on You,1792
Semi-Pro,13260
The Pirates! In an Adventure with Scientists!,72197
Changeling,3580
Chain Reaction,12123
The Fan,9566
The Phantom of the Opera,9833
Elizabeth: The Golden Age,4517
Æon Flux,8202
Gods and Generals,16072
Turbulence,34314
Imagine That,19724
Muppets Most Wanted,145220
Thunderbirds,14623
Burlesque,42297
A Very Long Engagement,2841
Lolita,802
D-Tox,10375
Blade II,36586
Seven Pounds,11321
Bullet to the Head,70074
The Godfather: Part III,242
Elizabethtown,9621
"You, Me and Dupree",1819
Superman II,8536
Gigli,8046
All the King's Men,1717
Shaft,479
Anastasia,9444
Moulin Rouge!,824
Domestic Disturbance,11456
Black Mass,261023
Flags of Our Fathers,3683
Law Abiding Citizen,22803
Grindhouse,285923
Beloved,39437
Lucky You,1950
Catch Me If You Can,640
Zero Dark Thirty,97630
The Break-Up,9767
Mamma Mia!,11631
Valentine's Day,32856
The Dukes of Hazzard,6519
The Thin Red Line,8741
The Change-Up,49520
Man on the Moon,1850
Casino,524
From Paris with Love,26389
Bulletproof Monk,11817
"Me, Myself & Irene",2123
Barnyard,9907
Deck the Halls,9969
The Twilight Saga: New Moon,18239
Shrek,808
The Adjustment Bureau,38050
Robin Hood: Prince of Thieves,8367
Jerry Maguire,9390
Ted,72105
As Good as It Gets,2898
Patch Adams,10312
Anchorman 2: The Legend Continues,109443
Mr. Deeds,2022
Super 8,37686
Erin Brockovich,462
How to Lose a Guy in 10 Days,9919
22 Jump Street,187017
Interview with the Vampire,628
Yes Man,10201
Central Intelligence,302699
Stepmom,9441
Daddy's Home,274167
Into the Woods,224141
Inside Man,388
Payback,2112
Congo,10329
We Bought a Zoo,74465
Knowing,13811
Failure to Launch,6877
The Ring Two,10320
"Crazy, Stupid, Love.",50646
Garfield,8920
Christmas with the Kranks,13673
Moneyball,60308
Outbreak,6950
Non-Stop,225574
Race to Witch Mountain,13836
V for Vendetta,752
Shanghai Knights,6038
Curious George,9975
Herbie Fully Loaded,11451
Don't Say a Word,12103
Hansel & Gretel: Witch Hunters,60304
Unfaithful,2251
I Am Number Four,46529
Syriana,231
13 Hours: The Secret Soldiers of Benghazi,300671
The Book of Life,228326
Firewall,9754
Absolute Power,66
G.I. Jane,4421
The Game,2649
Silent Hill,588
The Replacements,10393
American Reunion,71552
The Negotiator,9631
Into the Storm,216282
Beverly Hills Cop III,306
Gremlins 2: The New Batch,928
The Judge,205587
The Peacemaker,6623
Resident Evil: Apocalypse,1577
Bridget Jones: The Edge of Reason,9801
Out of Time,2116
On Deadly Ground,9624
The Adventures of Sharkboy and Lavagirl,14199
The Beach,1907
Raising Helen,4599
Ninja Assassin,22832
For Love of the Game,10390
Striptease,9879
Marmaduke,38579
Hereafter,44603
Murder by Numbers,11892
Assassins,9691
Hannibal Rising,1248
The Story of Us,12220
The Host,72710
Basic,10782
Blood Work,9573
The International,4959
Escape from L.A.,10061
The Iron Giant,10386
The Life Aquatic with Steve Zissou,421
Free State of Jones,316152
The Life of David Gale,11615
Man of the House,13498
Run All Night,241554
Eastern Promises,2252
Into the Blue,11968
The Messenger: The Story of Joan of Arc,10047
Your Highness,38319
Dream House,69668
Mad City,9770
Baby's Day Out,11212
The Scarlet Letter,10533
Fair Game,38363
Domino,9923
Jade,11863
Gamer,18501
Beautiful Creatures,109491
Death to Smoochy,9275
Zoolander 2,329833
The Big Bounce,12634
What Planet Are You From?,10416
Drive Angry,47327
Street Fighter: The Legend of Chun-Li,15268
The One,10796
The Adventures of Ford Fairlane,9548
The Boat That Rocked,18947
Traffic,1900
Indiana Jones and the Last Crusade,89
Anna Karenina,96724
Chappie,198184
The Bone Collector,9481
Panic Room,4547
The Tooth Fairy,53953
Three Kings,6415
Child 44,181283
Rat Race,9896
K-PAX,167
Kate & Leopold,11232
Bedazzled,1636
The Cotton Club,2148
3:10 to Yuma,5176
Taken 3,260346
Out of Sight,1389
The Cable Guy,9894
Earth,7504
Dick Tracy,8592
The Thomas Crown Affair,913
Riding in Cars with Boys,11091
First Blood,1368
Solaris,593
Happily N'Ever After,5393
Mary Reilly,9095
My Best Friend's Wedding,8874
America's Sweethearts,11467
Insomnia,320
Star Trek: First Contact,199
Jonah Hex,20533
Courage Under Fire,10684
Liar Liar,1624
The Infiltrator,325789
Inchon,113464
The Flintstones,888
Taken 2,82675
Scary Movie 3,4256
Miss Congeniality,1493
Journey to the Center of the Earth,88751
The Princess Diaries 2: Royal Engagement,11130
The Pelican Brief,9944
The Client,10731
The Bucket List,7350
Patriot Games,9869
Monster-in-Law,4379
Prisoners,146233
Training Day,2034
Galaxy Quest,926
Scary Movie 2,4248
The Muppets,64328
Blade,36647
Coach Carter,7214
Changing Lanes,1537
Anaconda,9360
Coyote Ugly,6282
Love Actually,508
A Bug's Life,9487
From Hell,768
The Specialist,2636
Tin Cup,10478
"Yours, Mine and Ours",27983
Kicking & Screaming,9981
The Hitchhiker's Guide to the Galaxy,7453
Fat Albert,15045
Resident Evil: Extinction,7737
Blended,232672
Last Holiday,17379
The River Wild,8987
The Indian in the Cupboard,11359
Savages,82525
Cellular,9759
Johnny English,9486
The Ant Bully,9906
Dune,841
Across the Universe,4688
Revolutionary Road,4148
16 Blocks,2207
Babylon A.D.,9381
The Glimmer Man,9625
Multiplicity,9304
Aliens in the Attic,20856
The Pledge,5955
The Producers,9899
The Phantom,9826
All the Pretty Horses,21355
Nixon,10858
The Ghost Writer,11439
Deep Rising,9457
Miracle at St. Anna,12412
Curse of the Golden Flower,1494
Bangkok Dangerous,13184
Big Trouble,2185
Love in the Time of Cholera,6639
Shadow Conspiracy,38153
Johnny English Reborn,58233
Foodfight!,116977
Argo,68734
The Fugitive,5503
The Bounty Hunter,27573
Sleepers,819
Rambo: First Blood Part II,1369
The Juror,9623
Pinocchio,10895
Heaven's Gate,10935
Underworld: Evolution,834
Victor Frankenstein,228066
Finding Forrester,711
28 Days,10468
Unleashed,10027
The Sweetest Thing,11812
The Firm,37233
Charlie St. Cloud,37950
The Mechanic,27582
21 Jump Street,64688
Notting Hill,509
Chicken Run,7443
Along Came Polly,5966
Boomerang,11066
The Heat,136795
Cleopatra,8095
Here Comes the Boom,87826
High Crimes,11560
The Mirror Has Two Faces,25189
The Mothman Prophecies,2637
Brüno,18480
Licence to Kill,709
Red Riding Hood,49730
15 Minutes,2749
Super Mario Bros.,9607
Lord of War,1830
Hero,79
One for the Money,54054
The Interview,228967
The Warrior's Way,46528
Micmacs,27936
8 Mile,65
Why I Did (Not) Eat My Father,280391
A Knight's Tale,9476
The Medallion,10610
The Sixth Sense,745
Man on a Ledge,49527
The Big Year,73937
The Karate Kid,1885
American Hustle,168672
The Proposal,18240
Double Jeopardy,10398
Back to the Future Part II,165
Lucy,240832
Fifty Shades of Grey,216015
Spy Kids 3-D: Game Over,12279
A Time to Kill,1645
Cheaper by the Dozen,11007
Lone Survivor,193756
A League of Their Own,11287
The Conjuring 2,259693
The Social Network,37799
He's Just Not That Into You,10184
Scary Movie 4,4257
Scream 3,4234
Back to the Future Part III,196
Get Hard,257091
Dracula,6114
Julie & Julia,24803
42,109410
The Talented Mr. Ripley,1213
Dumb and Dumber To,100042
Eight Below,9036
The Intern,257211
Ride Along 2,323675
The Last of the Mohicans,9361
Ray,1677
Sin City,187
Vantage Point,7461
"I Love You, Man",16538
Shallow Hal,9889
JFK,820
Big Momma's House 2,11565
The Mexican,6073
17 Again,16996
The Other Woman,193610
The Final Destination,19912
Bridge of Spies,296098
Behind Enemy Lines,8007
Get Him to the Greek,32823
Shall We Dance?,4380
Small Soldiers,11551
Spawn,10336
The Count of Monte Cristo,11362
The Lincoln Lawyer,50348
Unknown,48138
The Prestige,1124
Horrible Bosses 2,227159
Escape from Planet Earth,68179
Apocalypto,1579
The Living Daylights,708
Predators,34851
Legal Eagles,9930
